geoid,name,B15003001,"B15003001, Error",B15003002,"B15003002, Error",B15003003,"B15003003, Error",B15003004,"B15003004, Error",B15003005,"B15003005, Error",B15003006,"B15003006, Error",B15003007,"B15003007, Error",B15003008,"B15003008, Error",B15003009,"B15003009, Error",B15003010,"B15003010, Error",B15003011,"B15003011, Error",B15003012,"B15003012, Error",B15003013,"B15003013, Error",B15003014,"B15003014, Error",B15003015,"B15003015, Error",B15003016,"B15003016, Error",B15003017,"B15003017, Error",B15003018,"B15003018, Error",B15003019,"B15003019, Error",B15003020,"B15003020, Error",B15003021,"B15003021, Error",B15003022,"B15003022, Error",B15003023,"B15003023, Error",B15003024,"B15003024, Error",B15003025,"B15003025, Error"
16000US0465000,Scottsdale,204968,4095,783,489,37,64,0,218,0,218,0,218,0,218,117,193,0,218,446,472,470,742,149,185,95,107,598,565,647,536,2714,1106,22426,2588,2694,1090,10740,1516,23487,2255,15368,2425,72190,4276,34583,3334,10557,1787,6867,1584
16000US0636770,Irvine,186687,5788,1584,844,0,216,0,216,0,216,0,216,0,216,0,216,27,44,0,216,48,78,106,175,877,750,394,312,1272,1072,1261,659,10972,2347,1796,805,4482,1195,19756,3258,14389,3690,73060,5562,38611,4158,10105,2068,7947,1496
16000US0653000,Oakland,315220,4265,10904,1748,29,47,414,382,624,533,263,215,1707,809,645,409,1252,762,4541,1227,972,511,1377,614,7248,1705,1733,764,3298,1158,9362,1715,47225,4005,5925,1494,10490,1612,35874,3644,17222,2606,87799,4708,44634,3401,12195,2077,9487,1400
16000US0675000,Stockton,196661,3714,9827,1990,67,111,37,60,550,511,581,358,966,515,1515,779,88,87,10879,2691,1531,825,2479,842,2658,1182,3057,957,5416,1396,6722,1230,51767,4413,6701,1381,9834,1986,28190,2874,14511,1881,27423,3472,7623,1571,3178,1032,1061,430
16000US1608830,Boise City,158492,3332,1116,795,0,204,0,204,324,465,0,204,0,204,0,204,0,204,77,132,56,93,588,450,2000,891,1035,603,1669,759,2302,1102,26088,3810,5164,1437,10742,1601,26262,3036,14115,2452,39741,3348,18765,2416,5649,1317,2799,964
16000US1714000,Chicago,1890618,13232,38920,3727,263,241,145,200,2195,1131,3921,1206,6523,1582,3596,1135,4661,1603,40612,5104,7800,1853,26628,3594,19517,2523,29656,3603,38116,3662,47123,4061,360163,11857,55043,4435,86809,5690,225754,8544,111615,6400,451146,10931,223893,9002,72456,5844,34063,3700
16000US2404000,Baltimore,417550,517,7760,1761,92,115,158,193,362,416,250,399,50,83,551,477,753,570,1601,636,3236,1307,3873,1049,5606,1712,12703,2548,14490,2662,8050,1206,99591,6244,18676,2728,25409,2916,55069,5457,20230,2621,73630,4381,42388,3626,12916,1792,10106,1905
16000US2622000,Detroit,441647,5324,6901,1292,44,73,41,69,230,289,1247,1258,215,223,357,340,1732,890,3151,1104,1238,487,4489,1231,6223,1501,11853,2029,21619,3005,12931,2239,123629,6253,30603,3136,28211,2671,82480,5181,30866,3441,42762,3601,22326,2310,5153,1162,3346,866
16000US2938000,Kansas City,340306,5454,3780,1278,0,195,90,163,0,195,287,318,214,262,181,172,302,292,2329,1146,775,491,2138,999,3879,1276,4398,1286,6184,1777,5224,1173,76293,4742,13565,1963,21352,2527,51155,3110,24820,2938,79700,5042,30925,2568,8858,1394,3857,875
16000US2965000,St. Louis,218004,633,3212,969,39,64,0,195,0,195,148,194,301,314,83,87,495,407,1086,617,331,317,1742,701,3187,886,2513,795,5207,1316,4497,1049,44282,3737,9472,1818,10253,1492,35052,3209,12051,1812,44504,3248,26430,2813,7337,1369,5782,1096
16000US3128000,Lincoln,178745,1669,2332,1013,0,165,0,165,0,165,0,165,289,363,116,191,147,154,1225,658,71,120,1321,635,1082,530,1369,649,1085,502,4125,1171,29306,2483,6477,1389,11887,1590,23336,2044,22354,1960,45687,2930,18577,1833,3411,780,4548,1006
16000US3231900,Henderson,238697,4493,1094,444,0,216,103,175,44,104,0,216,0,216,0,216,174,286,936,687,136,169,948,638,1497,769,1946,960,2267,778,3796,1405,48515,4418,9873,1837,17064,2279,42102,3678,24049,2913,54227,4446,21033,2186,5305,1318,3588,1051
16000US3916000,Cleveland,260523,4739,6306,1280,82,137,23,41,164,172,195,245,565,436,208,226,1606,850,1077,582,1255,653,4276,1241,3335,953,9671,1634,12835,2114,5327,969,67066,4145,15948,2020,17029,2189,44317,3663,20896,2798,29390,2323,12591,1619,4189,1095,2172,1114
16000US4748000,Memphis,430632,5266,5673,1796,0,216,0,216,201,267,304,416,146,151,273,215,1188,579,3413,1348,1811,847,6690,1829,6294,1508,10599,1797,12577,2363,10303,2011,119574,6294,16654,2054,22549,2441,79075,5324,23113,2913,65766,5052,29695,3235,8825,1489,5909,1437
16000US4824000,El Paso,427304,3511,10172,1595,61,71,0,234,790,549,1374,709,3924,1240,1567,753,1810,653,18067,3257,2818,934,3715,1182,11448,2160,5142,1464,8251,1865,11182,2303,81595,6739,25207,3498,24660,2711,71700,5759,40118,3521,72042,5429,24828,2788,3625,910,3208,1087
16000US4837000,Irving,152832,4954,2871,1189,0,234,21,35,384,365,957,656,1212,805,925,539,1883,1069,4096,1194,729,410,2475,1152,5513,2158,3195,964,2069,859,1829,677,29376,3019,3301,831,4353,897,17308,2689,8034,1899,39183,3318,18725,3067,2903,879,1490,658
16000US4841464,Laredo,148897,1743,5486,1325,0,234,0,234,122,200,534,328,1596,690,1710,871,1505,939,7740,1814,2722,1082,4406,1384,8676,1622,3002,1113,2831,1029,8712,1903,24500,2474,4724,1133,7533,1850,19545,2468,12420,2095,23053,3082,6427,1463,1290,926,363,308
16000US4858016,Plano,202746,4249,1650,741,131,237,0,234,0,234,0,234,487,331,1161,998,1192,703,2276,1104,599,556,927,693,291,241,1150,713,797,391,1719,769,24402,3422,3955,1229,8119,1788,24960,3562,12689,2041,68655,4159,37451,3405,5861,1175,4274,1034
16000US5182000,Virginia Beach,310431,180,3716,1129,202,202,0,208,65,107,0,208,163,237,115,156,20,34,324,265,206,201,485,333,1237,691,2997,924,4214,1357,4572,1319,47968,3648,10177,1668,21852,2484,55584,5084,37937,3500,71164,4414,37216,2833,6430,1107,3787,1053
16000US5553000,Milwaukee,372155,3780,7260,1642,53,88,63,105,177,173,466,394,1419,584,1283,541,476,347,5000,1219,2219,1040,3681,905,4392,1006,8889,1624,11812,1781,8018,1588,99104,5137,14857,1942,19488,2326,60546,4077,27171,2551,62990,3976,24595,2349,5257,942,2939,753
